,citations.OutFilm,citations.OutFilm_Year,citationsIndex.OutIndex,citations.InFilm,citations.InFilm_Year,citationsIndex.InIndex
1,American Grindhouse 2010,2010,1,Corbett and Courtney Before the Kinetograph 1894,1894,1002
5,American Grindhouse 2010,2010,1,Interrupted Lover 1896,1896,1004
7,American Grindhouse 2010,2010,1,The Kiss 1900,1900,1006
8,American Grindhouse 2010,2010,1,Trapeze Disrobing Act 1901,1901,1007
9,American Grindhouse 2010,2010,1,The Interrupted Bathers 1902,1902,1008
10,American Grindhouse 2010,2010,1,The Great Train Robbery 1903,1903,1009
15,American Grindhouse 2010,2010,1,Jack the Kisser 1907,1907,1011
21,American Grindhouse 2010,2010,1,Traffic in Souls 1913,1913,1017
31,American Grindhouse 2010,2010,1,The Wolf Woman 1916,1916,1025
52,American Grindhouse 2010,2010,1,Lucretia Lombard 1923,1923,1043
91,American Grindhouse 2010,2010,1,The Laurel-Hardy Murder Case 1930,1930,1075
101,American Grindhouse 2010,2010,1,Dr. Jekyll and Mr. Hyde 1931,1931,1083
102,American Grindhouse 2010,2010,1,Dracula 1931,1931,1084
103,American Grindhouse 2010,2010,1,Frankenstein 1931,1931,1085
104,American Grindhouse 2010,2010,1,Little Caesar 1931,1931,1086
105,American Grindhouse 2010,2010,1,Night Nurse 1931,1931,1087
106,American Grindhouse 2010,2010,1,Strictly Dishonorable 1931,1931,1088
107,American Grindhouse 2010,2010,1,The Public Enemy 1931,1931,1082
148,American Grindhouse 2010,2010,1,Freaks 1932,1932,1097
149,American Grindhouse 2010,2010,1,Red-Headed Woman 1932,1932,1098
150,American Grindhouse 2010,2010,1,The Seventh Commandment 1932,1932,1099
151,American Grindhouse 2010,2010,1,The Sign of the Cross 1932,1932,1100
170,American Grindhouse 2010,2010,1,Baby Face 1933,1933,1109
171,American Grindhouse 2010,2010,1,Girl Without a Room 1933,1933,1110
172,American Grindhouse 2010,2010,1,Ladies They Talk About 1933,1933,1111
173,American Grindhouse 2010,2010,1,Narcotic 1933,1933,1112
174,American Grindhouse 2010,2010,1,Wild Boys of the Road 1933,1933,1113
220,American Grindhouse 2010,2010,1,Maniac 1934,1934,1128
221,American Grindhouse 2010,2010,1,Modern Motherhood 1934,1934,1129
222,American Grindhouse 2010,2010,1,Wonder Bar 1934,1934,1130
237,American Grindhouse 2010,2010,1,Angkor 1935,1935,1139
256,American Grindhouse 2010,2010,1,Gambling with Souls 1936,1936,1151
257,American Grindhouse 2010,2010,1,Kelly the Second 1936,1936,1152
258,American Grindhouse 2010,2010,1,Tell Your Children 1936,1936,1153
259,American Grindhouse 2010,2010,1,The March of Crime 1936,1936,1154
260,American Grindhouse 2010,2010,1,You Can't Beat the Rap! 1936,1936,1155
267,American Grindhouse 2010,2010,1,Assassin of Youth 1937,1937,1161
268,American Grindhouse 2010,2010,1,Damaged Goods 1937,1937,1162
269,American Grindhouse 2010,2010,1,Slaves in Bondage 1937,1937,1163
284,American Grindhouse 2010,2010,1,Child Bride 1938,1938,1171
285,American Grindhouse 2010,2010,1,Sex Madness 1938,1938,1172
286,American Grindhouse 2010,2010,1,The Wages of Sin 1938,1938,1173
301,American Grindhouse 2010,2010,1,The Bronze Buckaroo 1939,1939,1182
387,American Grindhouse 2010,2010,1,Pinocchio 1940,1940,1194
388,American Grindhouse 2010,2010,1,Souls in Pawn 1940,1940,1195
417,American Grindhouse 2010,2010,1,I Wake Up Screaming 1941,1941,1207
418,American Grindhouse 2010,2010,1,The Maltese Falcon 1941,1941,1208
501,American Grindhouse 2010,2010,1,Double Indemnity 1944,1944,1247
515,American Grindhouse 2010,2010,1,Mom and Dad 1945,1945,1259
532,American Grindhouse 2010,2010,1,The Killers 1946,1946,1270
559,American Grindhouse 2010,2010,1,Brute Force 1947,1947,1283
560,American Grindhouse 2010,2010,1,Kiss of Death 1947,1947,1284
567,American Grindhouse 2010,2010,1,Act of Violence 1948,1948,1290
568,American Grindhouse 2010,2010,1,Because of Eve 1948,1948,1291
569,American Grindhouse 2010,2010,1,Bob and Sally 1948,1948,1292
570,American Grindhouse 2010,2010,1,Street Corner 1948,1948,1293
571,American Grindhouse 2010,2010,1,The Street with No Name 1948,1948,1294
591,American Grindhouse 2010,2010,1,Tension 1949,1949,1309
592,American Grindhouse 2010,2010,1,Wild Weed 1949,1949,1310
605,American Grindhouse 2010,2010,1,Caged 1950,1950,1321
606,American Grindhouse 2010,2010,1,Sunset Blvd. 1950,1950,1318
638,American Grindhouse 2010,2010,1,His Kind of Woman 1951,1951,1338
656,American Grindhouse 2010,2010,1,"Beware, My Lovely 1952",1952,1346
667,American Grindhouse 2010,2010,1,From Here to Eternity 1953,1953,1355
668,American Grindhouse 2010,2010,1,The Wild One 1953,1953,1356
669,American Grindhouse 2010,2010,1,Violated 1953,1953,1357
703,American Grindhouse 2010,2010,1,Creature from the Black Lagoon 1954,1954,1377
704,American Grindhouse 2010,2010,1,Garden of Eden 1954,1954,1379
705,American Grindhouse 2010,2010,1,Varietease 1954,1954,1380
741,American Grindhouse 2010,2010,1,Blackboard Jungle 1955,1955,1394
742,American Grindhouse 2010,2010,1,Creature with the Atom Brain 1955,1955,1395
743,American Grindhouse 2010,2010,1,Dementia 1955,1955,1396
